alcohol,sugar,pH,class
11.87,5.36,3.49,1
12.52,1.25,3.56,0
11.87,1.81,2.97,1
12.34,8.32,3.23,1
9.8,6.91,3.14,0
11.38,1.96,3.03,1
9.42,8.3,3.24,1
9.83,2.1,2.91,0
11.07,5.27,3.57,0
8.82,1.47,3.46,0
9.85,2.17,3.21,0
10.53,2.23,3.33,0
10.27,3.65,2.97,1
12.28,6.77,3.6,1
11.0,5.68,3.34,1
9.15,7.75,3.56,0
11.88,2.93,3.5,0
10.85,4.46,3.36,0
12.53,3.36,3.39,0
8.79,2.71,3.52,0
10.2,2.45,3.31,0
10.6,3.33,3.55,1
11.15,8.14,3.57,1
11.09,7.5,3.34,1
12.1,7.81,3.01,1
10.22,7.01,3.56,1
8.81,1.23,3.55,0
11.96,2.32,3.08,0
11.39,7.66,3.49,1
12.77,2.38,3.04,1
11.27,5.56,3.59,1
10.41,5.77,3.19,1
12.66,2.08,3.13,0
11.65,5.45,3.04,0
8.73,1.61,3.46,0
11.46,1.55,3.55,0
11.08,6.87,3.05,1
11.33,2.77,3.46,0
11.53,1.83,3.57,0
9.12,2.5,3.53,0
10.93,3.64,3.5,0
10.8,6.08,3.41,1
11.73,6.48,3.33,1
10.49,7.67,3.26,1
8.77,1.46,2.97,0
9.58,7.7,2.99,1
11.47,7.32,3.49,1
11.52,7.57,2.91,1
12.06,3.46,3.17,0
9.12,5.43,2.98,0
11.96,1.93,3.24,0
11.08,4.36,2.92,1
10.93,3.22,3.16,0
9.14,3.6,3.22,0
10.35,3.48,3.19,0
11.61,6.24,2.91,1
9.55,4.5,2.93,1
11.87,3.18,3.52,0
10.95,2.92,3.47,0
9.06,3.61,3.4,0
11.41,4.38,3.22,1
9.89,2.06,3.18,0
9.81,7.23,2.92,1
11.74,6.64,3.08,1
11.81,5.25,3.28,1
10.76,1.81,3.27,0
8.84,1.49,2.92,0
11.34,3.67,3.13,0
9.3,4.16,3.54,0
10.65,5.03,3.49,1
9.19,8.39,3.33,1
9.99,3.46,3.51,0
12.35,5.2,3.08,1
9.0,4.63,3.18,0
10.59,4.95,2.97,1
9.72,6.96,3.53,0
10.17,4.91,3.12,1
11.9,6.03,2.95,0
8.95,4.89,3.26,0
9.35,2.88,3.57,0
12.49,5.87,3.04,1
11.45,1.62,3.5,0
10.93,6.97,3.15,1
10.72,6.34,2.9,1
9.64,8.29,3.54,0
11.29,8.39,3.16,1
9.02,2.91,3.57,0
10.97,7.07,3.21,1
11.52,2.89,3.09,0
9.87,1.86,2.99,0
10.97,1.24,3.22,0
12.03,6.6,3.23,1
9.0,5.94,2.97,1
10.16,3.83,3.16,1
9.93,6.76,3.01,1
9.99,4.61,3.18,1
10.63,5.71,3.51,1
10.8,2.53,3.13,0
10.47,6.31,3.6,1
11.52,3.64,3.11,0
9.86,4.79,3.09,1
11.94,5.24,3.58,1
10.16,6.14,3.24,1
9.7,4.32,3.11,1
10.73,5.08,3.41,0
9.0,6.54,3.54,0
12.61,4.07,3.19,1
12.35,2.39,3.03,1
9.65,2.89,3.01,0
11.54,2.24,3.32,0
10.16,6.69,3.12,1
8.7,5.15,3.23,0
11.05,4.14,2.91,1
12.39,4.86,3.08,1
8.69,6.97,3.46,0
9.17,7.58,3.42,0
12.02,6.49,3.52,0
10.85,2.55,3.59,0
9.78,2.65,3.14,0
9.93,8.33,3.24,1
9.24,1.5,2.9,0
12.27,4.73,3.0,1
11.81,1.57,3.32,0
11.83,7.16,3.31,1
9.59,3.28,3.13,0
9.03,1.41,3.22,1
11.0,7.7,3.56,1
11.18,5.01,3.37,0
9.0,1.78,2.98,0
9.19,1.6,3.59,0
11.89,5.74,3.4,1
9.72,8.01,3.11,1
9.78,3.46,3.18,0
9.25,1.81,2.94,1
10.33,2.02,3.01,1
11.91,1.85,3.31,0
11.8,6.78,3.07,1
9.43,5.42,3.11,1
12.63,4.31,3.41,0
11.85,7.9,3.26,1
12.07,1.72,3.42,0
12.5,7.32,3.53,1
12.42,5.32,2.94,1
11.98,3.2,3.52,0
11.89,3.24,3.12,0
9.59,1.55,2.99,0
10.7,5.64,3.59,1
10.67,5.9,3.34,1
8.7,3.15,2.99,0
10.51,8.18,2.98,1
10.83,6.39,2.99,1
9.18,2.94,3.57,0
11.95,6.68,3.2,1
12.16,5.77,2.91,0
12.66,3.41,3.07,0
10.44,2.06,3.2,0
9.19,4.14,3.18,1
10.93,7.94,3.04,1
11.62,5.6,3.59,1
11.03,2.17,3.37,0
10.09,7.94,2.98,1
9.24,1.52,3.59,0
9.9,8.3,3.42,1
10.14,6.25,3.53,1
12.57,6.9,3.18,0
12.08,3.96,3.18,1
12.67,3.37,3.36,0
10.17,4.03,3.25,0
12.36,7.26,2.92,1
12.24,5.91,2.92,1
9.21,6.8,3.59,0
8.7,2.48,3.4,0
11.87,5.45,2.93,1
9.91,2.0,3.0,0
12.64,5.78,3.09,1
11.39,7.33,3.42,1
10.36,4.43,3.07,0
9.08,7.76,3.5,0
9.06,5.67,3.27,1
9.9,4.75,3.29,0
12.2,3.39,3.3,0
11.7,4.83,3.04,1
12.06,4.73,3.47,1
9.21,2.82,3.38,0
9.98,4.03,3.35,1
11.54,6.83,2.93,1
11.23,4.17,3.26,0
11.65,1.31,3.33,0
9.11,3.84,3.31,0
10.46,2.33,2.94,1
12.1,8.38,3.54,1
10.23,3.24,3.03,1
9.15,7.14,3.13,1
10.44,3.37,3.4,0
9.33,7.12,3.43,1
9.25,2.05,3.45,0
9.04,1.38,3.14,0
8.95,5.44,3.26,1
8.69,2.03,3.04,0
